config,l1i_size,l1d_size,l2_size,l1_assoc,l2_assoc,cache_line_size,sim_ticks,sim_seconds,icache_hits,icache_misses,icache_hit_rate,dcache_hits,dcache_misses,dcache_hit_rate,l2_hits,l2_misses,l2_hit_rate
baseline,16KiB,64KiB,256KiB,2,8,64,381319750000,0.38132,81590830,1254,100.00,21114039,6635963,76.09,6596013,41211,99.38
block_128B,16KiB,64KiB,256KiB,2,8,128,402509746000,0.40251,81591183,901,100.00,20178872,7571116,72.72,7550887,21137,99.72
block_32B,16KiB,64KiB,256KiB,2,8,32,288480934000,0.288481,81590241,1843,100.00,25115121,2634915,90.50,2555555,81211,96.92
l1_assoc_1,16KiB,64KiB,256KiB,1,8,64,412978880000,0.412979,81589800,2284,100.00,19809147,7940855,71.38,7898298,44849,99.44
l1_assoc_4,16KiB,64KiB,256KiB,4,8,64,258285289000,0.258285,81590936,1148,100.00,26241292,1508710,94.56,1468618,41247,97.27
l1_assoc_8,16KiB,64KiB,256KiB,8,8,64,249465106000,0.249465,81591082,1002,100.00,26609189,1140813,95.89,1100436,41386,96.38
l1d_size_128KB,16KiB,128KiB,256KiB,2,8,64,379020240000,0.37902,81590830,1254,100.00,21218375,6531627,76.46,6489356,43532,99.33
l1d_size_16KB,16KiB,16KiB,256KiB,2,8,64,398892492000,0.398892,81590830,1254,100.00,20382580,7367422,73.45,7327474,41209,99.44
l1d_size_32KB,16KiB,32KiB,256KiB,2,8,64,387110412000,0.38711,81590830,1254,100.00,20872875,6877127,75.22,6837176,41212,99.40
l1d_size_8KB,16KiB,8KiB,256KiB,2,8,64,424152542000,0.424153,81590830,1254,100.00,19330277,8419725,69.66,8379774,41212,99.51
l1i_size_32KB,32KiB,64KiB,256KiB,2,8,64,381299677000,0.3813,81591106,978,100.00,21114039,6635963,76.09,6595833,41115,99.38
l1i_size_64KB,64KiB,64KiB,256KiB,2,8,64,381297441000,0.381297,81591201,883,100.00,21114039,6635963,76.09,6595799,41054,99.38
l1i_size_8KB,8KiB,64KiB,256KiB,2,8,64,381349012000,0.381349,81590153,1931,100.00,21114039,6635963,76.09,6596549,41352,99.38
l2_assoc_16,16KiB,64KiB,256KiB,2,16,64,381108475000,0.381108,81590830,1254,100.00,21114039,6635963,76.09,6598240,38984,99.41
l2_assoc_4,16KiB,64KiB,256KiB,2,4,64,479962026000,0.479962,81590830,1254,100.00,21114039,6635963,76.09,5512091,1125133,83.05
l2_size_128KB,16KiB,64KiB,128KiB,2,8,64,432083921000,0.432084,81590830,1254,100.00,21114039,6635963,76.09,6033673,603551,90.91
l2_size_1MB,16KiB,64KiB,1MiB,2,8,64,378762177000,0.378762,81590830,1254,100.00,21114039,6635963,76.09,6627130,10094,99.85
l2_size_512KB,16KiB,64KiB,512KiB,2,8,64,379222941000,0.379223,81590830,1254,100.00,21114039,6635963,76.09,6621361,15863,99.76
optimized_1,32KiB,128KiB,512KiB,4,16,64,250613794000,0.250614,81591225,859,100.00,26475594,1274408,95.41,1258461,16813,98.68
optimized_2,32KiB,128KiB,1MiB,4,16,64,250075456000,0.250075,81591225,859,100.00,26475594,1274408,95.41,1265180,10094,99.21
optimized_3,64KiB,128KiB,1MiB,8,16,128,228564302000,0.228564,81591580,504,100.00,27359053,390935,98.59,386269,5177,98.68
