
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000188                       # Number of seconds simulated (Second)
simTicks                                    187686000                       # Number of ticks simulated (Tick)
finalTick                                   187686000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.64                       # Real time elapsed on the host (Second)
hostTickRate                                114191601                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     710580                       # Number of bytes of host memory used (Byte)
simInsts                                       107554                       # Number of instructions simulated (Count)
simOps                                         208445                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    65431                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     126808                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           187687                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.745049                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.573050                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          300846                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       63                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         274788                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    468                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                92458                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            145291                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  27                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              156225                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.758925                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.261960                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     77151     49.38%     49.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     16757     10.73%     60.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     14941      9.56%     69.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     12221      7.82%     77.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     10281      6.58%     84.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      8417      5.39%     89.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      9326      5.97%     95.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      4727      3.03%     98.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2404      1.54%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                156225                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    3684     80.03%     80.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     80.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     80.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     80.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     80.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     80.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     80.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     80.03% # attempts to use FU when none available (Count)
