opLat,issueLat,num_threads,simTicks,simOps,numCycles,cpi,ipc
1,6,1,3711897000,1611327,3711897,2.3036,.4340
1,6,2,2019198000,1615463,3791096,2.3467,.4261
1,6,4,1169597000,1621455,3931125,2.4244,.4124
1,6,8,771373000,1633536,4350399,2.6631,.3754
2,5,1,3473670000,1611327,3473670,2.1557,.4638
2,5,2,1905361000,1615463,3562367,2.2051,.4534
2,5,4,1112268000,1621455,3704327,2.2845,.4377
2,5,8,740238000,1633674,4078714,2.4966,.4005
3,4,1,3328721000,1611327,3328721,2.0658,.4840
3,4,2,1828285000,1615463,3409472,2.1105,.4738
3,4,4,1076162000,1621455,3552923,2.1911,.4563
3,4,8,725996000,1633536,3954221,2.4206,.4131
4,3,1,3222008000,1611327,3222008,1.9995,.5001
4,3,2,1779471000,1615463,3311877,2.0501,.4877
4,3,4,1052803000,1621455,3459306,2.1334,.4687
4,3,8,705957000,1633812,3829358,2.3438,.4266
5,2,1,3293943000,1611327,3293943,2.0442,.4891
5,2,2,1805599000,1615463,3364642,2.0827,.4801
5,2,4,1063677000,1621455,3503584,2.1607,.4627
5,2,8,718822000,1633674,3914124,2.3959,.4173
6,1,1,3478803000,1611327,3478803,2.1589,.4631
6,1,2,1898546000,1615463,3550048,2.1975,.4550
6,1,4,1107930000,1621455,3683855,2.2719,.4401
6,1,8,740906000,1633536,4061578,2.4863,.4021
