
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001000                       # Number of seconds simulated (Second)
simTicks                                   1000000000                       # Number of ticks simulated (Tick)
finalTick                                  1000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      4.84                       # Real time elapsed on the host (Second)
hostTickRate                                206593387                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4405192                       # Number of bytes of host memory used (Byte)
simInsts                                      1121742                       # Number of instructions simulated (Count)
simOps                                        1127437                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   231738                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     232915                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu_cluster.clk_domain.clock              1667                       # Clock period in ticks (Tick)
system.cpu_cluster.cpus.numCycles              599881                       # Number of cpu cycles simulated (Cycle)
system.cpu_cluster.cpus.cpi                  0.534720                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu_cluster.cpus.ipc                  1.870138                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu_cluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.cpu_cluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.cpu_cluster.cpus.instsAdded            1148856                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu_cluster.cpus.nonSpecInstsAdded          115                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu_cluster.cpus.instsIssued           1144502                       # Number of instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsIssued           81                       # Number of squashed instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsExamined        21407                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu_cluster.cpus.squashedOperandsExamined        14495                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu_cluster.cpus.squashedNonSpecRemoved           68                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu_cluster.cpus.numIssuedDist::samples       596003                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::mean     1.920296                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::stdev     1.839196                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::0       172328     28.91%     28.91% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::1       139124     23.34%     52.26% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::2        67316     11.29%     63.55% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::3        96938     16.26%     79.82% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::4        57795      9.70%     89.51% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::5        43537      7.30%     96.82% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::6         7952      1.33%     98.15% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::7         4749      0.80%     98.95% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::8         6264      1.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::total       596003                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntAlu         2387     10.96%     10.96% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntMult         5249     24.09%     35.05% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntDiv            0      0.00%     35.05% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatAdd            0      0.00%     35.05% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCmp            0      0.00%     35.05% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCvt            0      0.00%     35.05% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMult            0      0.00%     35.05% # attempts to use FU when none available (Count)
