
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001000                       # Number of seconds simulated (Second)
simTicks                                   1000000000                       # Number of ticks simulated (Tick)
finalTick                                  1000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     14.14                       # Real time elapsed on the host (Second)
hostTickRate                                 70725639                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4409292                       # Number of bytes of host memory used (Byte)
simInsts                                      2898286                       # Number of instructions simulated (Count)
simOps                                        2960521                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   204981                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     209383                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu_cluster.clk_domain.clock               500                       # Clock period in ticks (Tick)
system.cpu_cluster.cpus.numCycles             2000003                       # Number of cpu cycles simulated (Cycle)
system.cpu_cluster.cpus.cpi                  0.689958                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu_cluster.cpus.ipc                  1.449364                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu_cluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.cpu_cluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.cpu_cluster.cpus.instsAdded            3052272                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu_cluster.cpus.nonSpecInstsAdded          156                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu_cluster.cpus.instsIssued           3063424                       # Number of instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsIssued          510                       # Number of squashed instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsExamined        91779                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu_cluster.cpus.squashedOperandsExamined       124894                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu_cluster.cpus.squashedNonSpecRemoved          109                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu_cluster.cpus.numIssuedDist::samples      1946693                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::mean     1.573655                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::stdev     1.836591                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::0       819002     42.07%     42.07% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::1       356216     18.30%     60.37% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::2       211833     10.88%     71.25% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::3       228516     11.74%     82.99% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::4       177260      9.11%     92.10% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::5        81787      4.20%     96.30% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::6        41105      2.11%     98.41% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::7        14403      0.74%     99.15% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::8        16571      0.85%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::total      1946693                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntAlu         2564      1.81%      1.81% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntMult        10428      7.36%      9.18% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntDiv            0      0.00%      9.18% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatAdd            0      0.00%      9.18% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCmp         3992      2.82%     11.99% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCvt            0      0.00%     11.99% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMult           42      0.03%     12.02% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMultAcc         1021      0.72%     12.75% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatDiv        94087     66.45%     79.19% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMisc           39      0.03%     79.22% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatSqrt            0      0.00%     79.22% # attempts to use FU when none available (Count)
