
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001000                       # Number of seconds simulated (Second)
simTicks                                   1000000000                       # Number of ticks simulated (Tick)
finalTick                                  1000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      9.88                       # Real time elapsed on the host (Second)
hostTickRate                                101234883                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4409292                       # Number of bytes of host memory used (Byte)
simInsts                                      2001433                       # Number of instructions simulated (Count)
simOps                                        2029670                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   202612                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     205471                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu_cluster.clk_domain.clock               833                       # Clock period in ticks (Tick)
system.cpu_cluster.cpus.numCycles             1200484                       # Number of cpu cycles simulated (Cycle)
system.cpu_cluster.cpus.cpi                  0.599751                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu_cluster.cpus.ipc                  1.667358                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu_cluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.cpu_cluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.cpu_cluster.cpus.instsAdded            2111283                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu_cluster.cpus.nonSpecInstsAdded          149                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu_cluster.cpus.instsIssued           2110330                       # Number of instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsIssued          440                       # Number of squashed instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsExamined        81634                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu_cluster.cpus.squashedOperandsExamined       117169                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu_cluster.cpus.squashedNonSpecRemoved          102                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu_cluster.cpus.numIssuedDist::samples      1173957                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::mean     1.797621                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::stdev     1.889809                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::0       411822     35.08%     35.08% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::1       239152     20.37%     55.45% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::2       131477     11.20%     66.65% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::3       163625     13.94%     80.59% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::4       104021      8.86%     89.45% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::5        74554      6.35%     95.80% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::6        27027      2.30%     98.10% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::7        11899      1.01%     99.12% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::8        10380      0.88%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::total      1173957                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntAlu         2058      3.60%      3.60% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntMult         4572      8.00%     11.60% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntDiv            0      0.00%     11.60% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatAdd            0      0.00%     11.60% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCmp         4000      7.00%     18.60% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCvt            0      0.00%     18.60% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMult           42      0.07%     18.67% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMultAcc         1022      1.79%     20.46% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatDiv        27682     48.43%     68.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMisc           36      0.06%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatSqrt            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAdd            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAddAcc            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAlu            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdCmp            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdCvt            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMisc            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMult            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMultAcc            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMatMultAcc            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShift            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShiftAcc            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdDiv            0      0.00%     68.95% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSqrt            0      0.00%     68.95% # attempts to use FU when none available (Count)
