
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001000                       # Number of seconds simulated (Second)
simTicks                                   1000000000                       # Number of ticks simulated (Tick)
finalTick                                  1000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      9.86                       # Real time elapsed on the host (Second)
hostTickRate                                101450849                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4406208                       # Number of bytes of host memory used (Byte)
simInsts                                      1860533                       # Number of instructions simulated (Count)
simOps                                        1884090                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188750                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     191140                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu_cluster.clk_domain.clock               500                       # Clock period in ticks (Tick)
system.cpu_cluster.cpus.numCycles             2000004                       # Number of cpu cycles simulated (Cycle)
system.cpu_cluster.cpus.cpi                  1.074847                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu_cluster.cpus.ipc                  0.930365                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu_cluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.cpu_cluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.cpu_cluster.cpus.instsAdded            1959149                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu_cluster.cpus.nonSpecInstsAdded          150                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu_cluster.cpus.instsIssued           2021097                       # Number of instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsIssued          364                       # Number of squashed instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsExamined        75123                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu_cluster.cpus.squashedOperandsExamined       110993                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu_cluster.cpus.squashedNonSpecRemoved          103                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu_cluster.cpus.numIssuedDist::samples      1955612                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::mean     1.033486                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::stdev     1.609824                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::0      1177297     60.20%     60.20% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::1       264777     13.54%     73.74% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::2       143124      7.32%     81.06% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::3       163082      8.34%     89.40% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::4       111862      5.72%     95.12% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::5        62220      3.18%     98.30% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::6        17168      0.88%     99.18% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::7         9386      0.48%     99.66% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::8         6696      0.34%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::total      1955612                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntAlu         2294      5.89%      5.89% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntMult         4759     12.22%     18.11% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntDiv            0      0.00%     18.11% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatAdd            0      0.00%     18.11% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCmp         1518      3.90%     22.01% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCvt            0      0.00%     22.01% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMult            5      0.01%     22.02% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMultAcc          974      2.50%     24.52% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatDiv            0      0.00%     24.52% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMisc           24      0.06%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatSqrt            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAdd            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAddAcc            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAlu            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdCmp            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdCvt            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMisc            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMult            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMultAcc            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMatMultAcc            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShift            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShiftAcc            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdDiv            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSqrt            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatAdd            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatAlu            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatCmp            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatCvt            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatDiv            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatMisc            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatMult            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatMultAcc            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatMatMultAcc            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatSqrt            0      0.00%     24.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdReduceAdd            0      0.00%     24.59% # attempts to use FU when none available (Count)
